names,authors,descrips,paragraphs
PolyTime,Wyvest,"Client, Utility, Forge","Change your time in-game to way, way too many options."
Axel's Clocks and Chimes,Chuckchuk,"Decoration, Social, Utility, Data Pack, Fabric, Forge, Quilt",Add Beautiful Clocks to your world! They tell the time and Chime throughout the day!
Wyrms of Nyrus,Vetpetmon-Labs,"Client and server, Game Mechanics, Mobs, Forge","The Nyral Wyrms, now in your Minecraft worlds!"
Block of Sky,cerulanlumina,"Client and server, Decoration, Fabric, Forge, NeoForge, Quilt",Adds a block to render the sky
MultiBeds,ShetiPhian,"Client and server, Decoration, Fabric, Forge","::Design Your Bed:: Pick the style, block texture, blanket pattern and color (or use a banner). Dye your sheets and pillow case. Choose an embroidery or create/use/share a custom one."
Little Logistics,MuradAkh,"Client and server, Technology, Transportation, Forge, NeoForge",Rail and Water Transportation Mod
OpenMCSkins,zatrit,"Client, Utility, Fabric, Quilt",A custom skin loader for Minecraft
Timeless and Classics Guns: LesRaisins Append Pack,xjqsh,"Client and server, Adventure, Equipment, Forge",An experimental addon of TaC
Ender Bundle,ferriarnus,"Client and server, Storage, Utility, Fabric, Forge",An Ender Bundle for inventory management for Forge and Fabric. Link a hopper to the bundle and create automated setups!
NoRefreshScroll,Thatsmusic99,"Client, Utility, Fabric","Stops the server list scrolling when clicking the ""Refresh"" button in the Multiplayer menu."
Cyan Warrior Swords Mod,MustangXPress7,"Client and server, Adventure, Equipment, Magic, Forge","This mod adds new swords with different habilities. You can upgrade and mix them to obtain the hability that fits you the best.  You can choose between Fire, Thunder, Wind, Earth, Dark, Light, Ender and Beast! Choose the best sword for your epic battles!"
Extra Sponges,UltrusBot,"Client and server, Utility, Fabric, Quilt",Adds stronger material based sponges!
EnviroMine for Galaxy Odyssey,AstroTibs,"Client and server, Adventure, World Generation, Forge",EnviroMine fork with a couple bugfixes and features
Create: Foundry,CommanderT3706,"Client and server, Equipment, Technology, Utility, Fabric, Forge",Use your Create skills and machines to create the ultimate ore processor!
Nether Sheep,An-Sar,"Client and server, Adventure, Food, Mobs, Fabric, Forge",A variety of sheep native to the mushroom forests and barren sand biomes of the nether.
Dual Swords,Provismet,"Client and server, Game Mechanics, Fabric, Quilt","Parry, riposte, and dual wield in Minecraft."
Better Combat Bewitchment Compatibility (BCBC),June,"Equipment, Data Pack, Fabric, Quilt",Adds Better Combat weapon compatibility for the Bewitchment mod.
Organizable Play Screens (Fabric),Kevinthegreat,"Client, Utility, Fabric",Organize your worlds and servers with folders in the play screens.
Craft slabs back into blocks,MarsThePlanet,"Client and server, Game Mechanics, Utility, Fabric, Forge, Quilt",With this mod you can craft slabs back into blocks
SebastrnLib,Sebastrn,"Client and server, Library, Forge",A common mod project for all Sebastrn's mods
Switchy Teleport,Fulmine,"Server, Social, Transportation, Utility, Fabric, Forge, Quilt",Addon module for Switchy that teleports you to your last location. Plus more!
Lexicon,XxRexRaptorxX,"Client and server, Adventure, Equipment, Utility, Fabric, Forge, NeoForge, Quilt",This mod adds a lexicon to the game that explains almost every aspect of minecraft ingame!
Sneak Through Berries,Trikzon,"Client and server, Game Mechanics, Fabric, Forge, Quilt",Lets you sneak through Sweet Berry Bushes without taking damage
Unforgiving Void,The-Fireplace,"Server, Adventure, Game Mechanics, Utility, Fabric, Forge, Quilt","Configurable behavior when you fall into the void - land in another dimension, fall from the sky, and more!"
No Tutorial Toasts,hYdos,"Client, Utility, Fabric",Removes Tutorial Toasts from the game.
Villager Pickup,Living-Lemming,"Server, Game Mechanics, Mobs, Utility, Fabric, Quilt",A mod that allows you to pick up villagers and place them somewhere else!
MoreIotas,Talia-12,"Client and server, Magic, Fabric, Forge",An addon for Hex Casting adding some new Iota types to make your life easier.
Villager Recruits,talhanation,"Client and server, Adventure, Game Mechanics, Mobs, Forge",Command your Villager army into war! Now with special AIÕs and vanilla teams supported!
Netherite Nuggets,Pepperoni-Jabroni,"Client and server, Equipment, Fabric",Because repairing with Netherite Ingots is too expensive!
The Nuke Mod,Blacktrap,"Client and server, Equipment, Technology, Forge","This mod adds nuclear bombs, explosives and many other stuff to Minecraft!"
Sooty Chimneys,mortuusars,"Client and server, Decoration, Forge",Spiritual successor to campfires!
Ceramic Bucket,cech12,"Client and server, Utility, Forge, NeoForge",A Ceramic Bucket made of clay for ALL fluids!
Colour My Servers,ella,"Client, Social, Utility, Fabric, Quilt",Allows you to give colour to your servers and worlds!
Old Mutant More,AlexandersFunAndGames,"Client and server, Adventure, Mobs, Forge",The old version of Mutant More for Minecraft 1.16.5. Mutant More adds tons of new mutant mobs into the game!
Cats Expanded,Xipit,"Client and server, Decoration, Utility, Fabric",[Fabric] Adds more gameplay to cats & adds catears
Kettle,cypher121,"Client and server, Library, Fabric, Quilt",Kotlin Mod library for Quilt
Enhanced Book Writing,BluSpring,"Client, Management, Utility, Fabric",Enhance your book writing experience! Fully client-side mod.
No Indium?,luligabi1,"Client and server, Library, Utility, Fabric",Warns users using Sodium without Indium as to reduce rendering issues caused.
Global XP,bl4ckscor3,"Client and server, Storage, Fabric, Forge, NeoForge, Quilt",Adds a block to store XP that is accessible to all players
Bing Bing Wahoo,tropheusj,"Client and server, Cursed, Fabric, Quilt","Bringing the physics of Super Mario 64 to Minecraft, one wahoo at a time."
Sodium Shader Support,DartCat25,"Client, Utility, Fabric",Mod that allows to change sodium shaders with resource packs.
ItemLocks,Kirdow,"Client, Equipment, Storage, Utility, Fabric, Forge, NeoForge",Lock your inventory items to prevent accidental loss of items.
Stacked Armor Trims,ApfelRauber,"Client and server, Decoration, Equipment, Utility, Fabric, Quilt","With Stacked Armor Trims you can use as many armor trims as you like, for even more custom armor options!"
Spoiled,Mrbysco,"Client and server, Food, Management, Fabric, Forge, NeoForge",Spoiling your food supply since 2020
Necronomicon API,ElocinDev,"Client and server, Fabric, Forge",A personal utility library for my mods.
Enriched,CamoMano,"Client and server, Adventure, Equipment, World Generation, Fabric","Enhancements and vanilla-esque additions such as new Tool, Weapon & Armor Materiels, Biomes, Trees, and more."
Time Display,Iru,"Client, Utility, Fabric, Quilt",Adds an in-game overlay to display current and world time!
Theurgy,klikli-dev,"Client and server, Game Mechanics, Magic, Forge, NeoForge","Theurgy is an open-source magic mod built around classical alchemy to replicate and transmute matter, and create magical artifacts."
Emerald Equipment,exline,"Client and server, Equipment, Fabric, Quilt","This mod adds emerald tools, armor, and horse armor. Emerald tools will be faster at mining than most tools. Emerald tier items have values between iron and diamond tiers."
Hyper Lighting [Forge],hypherionsa,"Client and server, Decoration, Technology, Forge",Advanced Lighting for Minecraft
Universal Tweaks,ACGaming,"Client and server, Game Mechanics, Optimization, Utility, Forge",Consolidates various bugfixes and tweaks into a single solution for Minecraft 1.12.2
Polysit,Ampflower,"Server, Game Mechanics, Fabric, Quilt",A server-side sit mod for Quilt & Fabric
qrafty's Bamboo Villages,qrafty,"Adventure, World Generation, Data Pack, Fabric, Forge, Quilt",This mod/datapack adds lagfree generating villages with 15 unique custom build structures to the bamboo jungle in your minecraft world! ??
TitleChanger,lijinhong11,"Client, Utility, Fabric, Forge, Quilt",A title changer changes the window title of Minecraft.
StepItUp,spoorn,"Client, Game Mechanics, Transportation, Utility, Fabric, Forge",Step Up blocks smoothly instead of Auto Jump
NoMoreRealms,Nixuge,"Client, Utility, Forge","A simple legacy Forge mod that removes the ""realms"" button in the main menu"
Cherry Blossom Grotto,Dekunutter,"Client and server, Equipment, Food, World Generation, Forge",New biomes centered around cherry blossom trees with custom structures and a new village type!
Elytra Swap,Roundaround,"Server, Game Mechanics, Utility, Fabric, Quilt",Brings 1.19.4 elytra/armor swapping to earlier versions.
Dynamic FPS Reforged,N4TH4NOT,"Client, Optimization, Forge",Reduce performance consumption when the window is not focused
Depth : Hidden World,furti-two,"Client and server, Adventure, Equipment, World Generation, Forge",??An unknown force pull down a part of the sea
Loyal Items,Felix14_v2,"Adventure, Game Mechanics, Data Pack, Fabric, Forge, Quilt",Your items will never despawn while waiting for your return after death
BetterRecipes,solonovamax,"Client or server, Utility, Fabric, Quilt",Adds a bunch of recipes to minecraft
PokeBall,Mirkiri,"Client and server, Adventure, Fabric",Capture your favorite mob with the pokeball !
Flan,flemmli97,"Server, Management, Utility, Fabric, Forge, NeoForge",Serverside Claiming Mod
OpenBoatUtils,o7Moon,"Client, Game Mechanics, Transportation, Fabric","Configurable boat physics, from the serverside."
Multiworld,Isaiah,"Server, Utility, Fabric, Forge",Create & Manage Worlds. Multiverse alternative for Fabric & Forge
Mob Boss Bars,Totobird-Creations,"Server, Mobs, Utility, Fabric",Configurable boss bars for every entity type.
Simple Mango,anvian,"Client and server, Adventure, Decoration, World Generation, Fabric, Forge, Quilt",Add a new tree with a new type of wood and food
Lightest Lamps,Prefex,"Client and server, Decoration, Technology, Fabric, Quilt",Mod adds lamps with larger range and special ones.
Defensive Measures Mod,Virus5600,"Client and server, Technology, Utility, Fabric, Quilt","Allows you to craft defensive turrets that will shoot any hostile mobs it detects, and defend villages that are within proximity."
Don't Drop It!,ADudeCalledLeo,"Client, Storage, Utility, Fabric, Quilt",Prevents accidental dropping of items via various means.
Menu Music,nothub,"Client, Cursed, Utility, Fabric",Change the title menu music without much fuzz!
Playdate,Frogipher,"Client and server, Decoration, Minigame, Fabric, Forge, NeoForge",Liven your world with toys!
Pick Your Poison,RAT,"Client and server, Fabric",Poison dart frogs!
Better Crafting,MarsThePlanet,"Client and server, Game Mechanics, Storage, Utility, Fabric, Forge, Quilt",Changes and adds a few crafting recipes to make the game better
No Screen Bobbing,Inboundbark,"Client, Fabric, Forge",Disables the screen shake present with view bobbing
Runic,Sweetygamer2,"Client and server, Adventure, Magic, Utility, Forge",A magic QoL for early and mid-game
Fx Control!,McJty,"Server, Utility, Forge",Control Player Effects under various conditions
Unidentified Enchantments,ferriarnus,"Client and server, Adventure, Equipment, Forge, NeoForge",Hides the Enchantments on loot items. Perfect for an RPG based pack!
"Big items, duh!",Siphalor,"Client, Utility, Fabric","A Minecraft Fabric mod to see items in big, duh"
Paragon,ang-xd,"Client and server, Library, Fabric, Forge, Quilt",Lightweight and easy-to-use config library.
Pretty Beaches,BlayTheNinth,"Server, Game Mechanics, Utility, Fabric, Forge",Adjusts water physics when digging sand near water to prevent ugly.
CMDCam,creativemd,"Client, Utility, Forge, NeoForge",Be camera & actor at the same time - Smooth camera paths
BLAST,RAT,"Client and server, Equipment, Fabric, Quilt",A mod about bombs.
Moar TCon,DabbingEevee,"Client and server, Equipment, Game Mechanics, World Generation, Forge","More materials and tools in Tinkers Construct, that simple."
Resource Reload (F3+T) Everywhere,enchanted-games,"Client, Utility, Fabric","Allows you to reload resource pack with F3 + T while not in a world, useful for streamlining pack development"
Metal Bundles,Fuzs,"Client and server, Management, Storage, Fabric, Forge","Use bundles like never before with many intuitive interactions. And there's more bundles, much larger!"
Runic Enchanting,brotazoa,"Client and server, Adventure, Equipment, Magic, Fabric",Craft enchanted books using runes found throughout the world.
Restore Chat Links,zomabies,"Client, Social, Utility, Fabric, Forge, NeoForge",Clickable player chat links
World Border,Serilum,"Server, Management, Utility, Fabric, Forge, NeoForge, Quilt","?? Allows the creation of a configurable world border, limiting the world size."
Villager Leads,DcmanProductions,"Server, Game Mechanics, Fabric",a simple mod that allows you to lead villagers
